"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA06C01","Transport Taxes","2019","2019","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","28","Construction (41-43)","€m","17"
"ETA06C01","Transport Taxes","2019","2019","03","Services (45-96)","€m","293"
"ETA06C01","Transport Taxes","2019","2019","31","Wholesale and retail trade (45-47)","€m","70"
"ETA06C01","Transport Taxes","2019","2019","32","Transport, postal and warehousing (49-53)","€m","67"
"ETA06C01","Transport Taxes","2019","2019","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2019","2019","34","Information and computing (62-63)","€m","25"
"ETA06C01","Transport Taxes","2019","2019","35","Rental and leasing (77)","€m","58"
"ETA06C01","Transport Taxes","2019","2019","36","Public administration (84)","€m","15"
"ETA06C01","Transport Taxes","2019","2019","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","58"
"ETA06C01","Transport Taxes","2019","2019","04","Households and non-residents","€m","1488"
"ETA06C01","Transport Taxes","2020","2020","01","Agriculture, forestry and fishing (01-03)","€m","5"
"ETA06C01","Transport Taxes","2020","2020","02","Industry (05-43)","€m","174"
"ETA06C01","Transport Taxes","2020","2020","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2020","2020","22","Food, beverages and tobacco (10-12)","€m","4"
"ETA06C01","Transport Taxes","2020","2020","23","Textiles and pharmaceuticals (13-21)","€m","3"
"ETA06C01","Transport Taxes","2020","2020","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2020","2020","25","Metals, machinery and equipment (24-33)","€m","155"
"ETA06C01","Transport Taxes","2020","2020","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2020","2020","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2020","2020","28","Construction (41-43)","€m","11"
"ETA06C01","Transport Taxes","2020","2020","03","Services (45-96)","€m","284"
"ETA06C01","Transport Taxes","2020","2020","31","Wholesale and retail trade (45-47)","€m","83"
"ETA06C01","Transport Taxes","2020","2020","32","Transport, postal and warehousing (49-53)","€m","55"
"ETA06C01","Transport Taxes","2020","2020","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2020","2020","34","Information and computing (62-63)","€m","19"
"ETA06C01","Transport Taxes","2020","2020","35","Rental and leasing (77)","€m","59"
"ETA06C01","Transport Taxes","2020","2020","36","Public administration (84)","€m","12"
"ETA06C01","Transport Taxes","2020","2020","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","56"
"ETA06C01","Transport Taxes","2020","2020","04","Households and non-residents","€m","1246"
"ETA06C01","Transport Taxes","2021","2021","01","Agriculture, forestry and fishing (01-03)","€m","4"
"ETA06C01","Transport Taxes","2021","2021","02","Industry (05-43)","€m","175"
"ETA06C01","Transport Taxes","2021","2021","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2021","2021","22","Food, beverages and tobacco (10-12)","€m","5"
"ETA06C01","Transport Taxes","2021","2021","23","Textiles and pharmaceuticals (13-21)","€m","4"
"ETA06C01","Transport Taxes","2021","2021","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2021","2021","25","Metals, machinery and equipment (24-33)","€m","156"
"ETA06C01","Transport Taxes","2021","2021","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2021","2021","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2021","2021","28","Construction (41-43)","€m","9"
"ETA06C01","Transport Taxes","2021","2021","03","Services (45-96)","€m","301"
"ETA06C01","Transport Taxes","2021","2021","31","Wholesale and retail trade (45-47)","€m","85"
"ETA06C01","Transport Taxes","2021","2021","32","Transport, postal and warehousing (49-53)","€m","51"
"ETA06C01","Transport Taxes","2021","2021","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2021","2021","34","Information and computing (62-63)","€m","17"
"ETA06C01","Transport Taxes","2021","2021","35","Rental and leasing (77)","€m","71"
"ETA06C01","Transport Taxes","2021","2021","36","Public administration (84)","€m","12"
"ETA06C01","Transport Taxes","2021","2021","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","66"
"ETA06C01","Transport Taxes","2021","2021","04","Households and non-residents","€m","1257"
"ETA06C01","Transport Taxes","2022","2022","01","Agriculture, forestry and fishing (01-03)","€m","3"
"ETA06C01","Transport Taxes","2022","2022","02","Industry (05-43)","€m","177"
"ETA06C01","Transport Taxes","2022","2022","21","Mining and quarrying (05-09)","€m","0"
"ETA06C01","Transport Taxes","2022","2022","22","Food, beverages and tobacco (10-12)","€m","8"
"ETA06C01","Transport Taxes","2022","2022","23","Textiles and pharmaceuticals (13-21)","€m","4"
"ETA06C01","Transport Taxes","2022","2022","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA06C01","Transport Taxes","2022","2022","25","Metals, machinery and equipment (24-33)","€m","157"
"ETA06C01","Transport Taxes","2022","2022","26","Electricity and gas (35)","€m","0"
"ETA06C01","Transport Taxes","2022","2022","27","Water and Waste (36-39)","€m","0"
"ETA06C01","Transport Taxes","2022","2022","28","Construction (41-43)","€m","7"
"ETA06C01","Transport Taxes","2022","2022","03","Services (45-96)","€m","315"
"ETA06C01","Transport Taxes","2022","2022","31","Wholesale and retail trade (45-47)","€m","91"
"ETA06C01","Transport Taxes","2022","2022","32","Transport, postal and warehousing (49-53)","€m","47"
"ETA06C01","Transport Taxes","2022","2022","33","Accommodation and food (55-56)","€m","0"
"ETA06C01","Transport Taxes","2022","2022","34","Information and computing (62-63)","€m","15"
"ETA06C01","Transport Taxes","2022","2022","35","Rental and leasing (77)","€m","68"
"ETA06C01","Transport Taxes","2022","2022","36","Public administration (84)","€m","10"
"ETA06C01","Transport Taxes","2022","2022","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","83"
"ETA06C01","Transport Taxes","2022","2022","04","Households and non-residents","€m","1253"
